DATE,TEMP,UNCERTIAN
1/1/89,4.906,0.371
2/1/89,6.168,0.169
3/1/89,11.384,0.299
4/1/89,15.806,0.192
5/1/89,16.68,0.21
6/1/89,20.999,0.281
7/1/89,24.048,0.351
8/1/89,22.34,0.415
9/1/89,20.052,0.329
10/1/89,14.874,0.301
11/1/89,10.969,0.236
12/1/89,7.033,0.452
1/1/90,6.215,0.336
2/1/90,6.198,0.209
3/1/90,11.084,0.267
4/1/90,14.865,0.129
5/1/90,15.985,0.136
6/1/90,20.928,0.292
7/1/90,24.677,0.273
8/1/90,23.208,0.366
9/1/90,21.087,0.301
10/1/90,16.455,0.196
11/1/90,10.061,0.333
12/1/90,3.568,0.356
1/1/91,6.365,0.303
2/1/91,10.872,0.18
3/1/91,7.606,0.248
4/1/91,11.824,0.157
5/1/91,14.668,0.152
6/1/91,19.088,0.172
7/1/91,24.058,0.401
8/1/91,22.897,0.375
9/1/91,22.077,0.273
10/1/91,17.702,0.233
11/1/91,10.923,0.156
12/1/91,6.61,0.255
1/1/92,6.202,0.299
2/1/92,9.78,0.3
3/1/92,10.922,0.174
4/1/92,15.266,0.233
5/1/92,19.602,0.112
6/1/92,20.762,0.287
7/1/92,23.348,0.325
8/1/92,24.536,0.327
9/1/92,21.449,0.309
10/1/92,16.929,0.129
11/1/92,9.836,0.247
12/1/92,4.691,0.404
1/1/93,5.211,0.339
2/1/93,6.972,0.306
3/1/93,12.006,0.168
4/1/93,13.203,0.231
5/1/93,17.246,0.263
6/1/93,20.212,0.113
7/1/93,22.427,0.242
8/1/93,22.952,0.335
9/1/93,20.79,0.227
10/1/93,16.267,0.181
11/1/93,9.414,0.23
12/1/93,6.185,0.306
1/1/94,7.542,0.326
2/1/94,6.78,0.221
3/1/94,11.985,0.12
4/1/94,13.574,0.2
5/1/94,16.621,0.138
6/1/94,21.701,0.19
7/1/94,24.678,0.349
8/1/94,24.353,0.292
9/1/94,21.016,0.232
10/1/94,14.709,0.157
11/1/94,6.296,0.235
12/1/94,5.563,0.298
1/1/95,7.105,0.31
2/1/95,10.907,0.267
3/1/95,9.934,0.152
4/1/95,11.964,0.188
5/1/95,15.079,0.153
6/1/95,19.195,0.215
7/1/95,23.528,0.244
8/1/95,23.912,0.372
9/1/95,21.726,0.215
10/1/95,16.588,0.11
11/1/95,13.183,0.198
12/1/95,8.005,0.221
1/1/96,7.556,0.263
2/1/96,9.572,0.207
3/1/96,11.228,0.164
4/1/96,14.121,0.196
5/1/96,17.337,0.139
6/1/96,21.522,0.202
7/1/96,25.639,0.327
8/1/96,24.831,0.305
9/1/96,20.231,0.265
10/1/96,15.067,0.14
11/1/96,10.726,0.108
12/1/96,7.519,0.213
1/1/97,6.95,0.227
2/1/97,8.375,0.237
3/1/97,12.58,0.274
4/1/97,13.389,0.124
5/1/97,20.068,0.176
6/1/97,20.416,0.196
7/1/97,23.411,0.32
8/1/97,23.932,0.417
9/1/97,21.613,0.28
10/1/97,14.945,0.194
11/1/97,10.97,0.179
12/1/97,5.757,0.194
1/1/98,7.262,0.266
2/1/98,6.764,0.276
3/1/98,10.034,0.176
4/1/98,11.235,0.168
5/1/98,13.306,0.164
6/1/98,18.711,0.193
7/1/98,24.455,0.313
8/1/98,25.137,0.303
9/1/98,20.737,0.295
10/1/98,14.273,0.144
11/1/98,9.459,0.125
12/1/98,5.494,0.164
1/1/99,7.227,0.245
2/1/99,7.402,0.203
3/1/99,9.068,0.116
4/1/99,11.013,0.273
5/1/99,16.042,0.158
6/1/99,20.004,0.162
7/1/99,23.032,0.327
8/1/99,22.643,0.38
9/1/99,21.42,0.243
10/1/99,17.456,0.111
11/1/99,11.762,0.117
12/1/99,7.354,0.278
1/1/00,7.667,0.226
2/1/00,8.692,0.209
3/1/00,10.534,0.134
4/1/00,14.629,0.191
5/1/00,17.993,0.164
6/1/00,22.485,0.18
7/1/00,23.143,0.331
8/1/00,23.915,0.343
9/1/00,20.662,0.175
10/1/00,14.544,0.227
11/1/00,7.922,0.112
12/1/00,8.046,0.135
1/1/01,5.767,0.206
2/1/01,6.426,0.209
3/1/01,11.841,0.126
4/1/01,11.43,0.166
5/1/01,20.516,0.181
6/1/01,21.982,0.226
7/1/01,23.518,0.314
8/1/01,24.423,0.292
9/1/01,21.736,0.342
10/1/01,17.42,0.181
11/1/01,11.01,0.187
12/1/01,5.986,0.189
1/1/02,5.817,0.23
2/1/02,9.272,0.156
3/1/02,9.664,0.14
4/1/02,13.59,0.143
5/1/02,16.644,0.099
6/1/02,21.841,0.139
7/1/02,25.204,0.395
8/1/02,23.537,0.241
9/1/02,21.553,0.293
10/1/02,15.1,0.183
11/1/02,11.521,0.134
12/1/02,6.708,0.228
1/1/03,10.056,0.184
2/1/03,7.94,0.236
3/1/03,11.274,0.174
4/1/03,10.433,0.251
5/1/03,17.007,0.202
6/1/03,21.852,0.308
7/1/03,25.903,0.306
8/1/03,23.947,0.428
9/1/03,22.63,0.267
10/1/03,18.513,0.289
11/1/03,8.453,0.141
12/1/03,6.689,0.203
1/1/04,6.494,0.221
2/1/04,7.108,0.159
3/1/04,14.232,0.194
4/1/04,14.381,0.187
5/1/04,17.627,0.157
6/1/04,21.407,0.325
7/1/04,24.515,0.288
8/1/04,23.797,0.354
9/1/04,20.789,0.238
10/1/04,14.471,0.305
11/1/04,8.923,0.134
12/1/04,7.081,0.108
1/1/05,6.816,0.177
2/1/05,8.689,0.192
3/1/05,11.09,0.189
4/1/05,12.042,0.169
5/1/05,17.079,0.171
6/1/05,19.17,0.229
7/1/05,25.731,0.25
8/1/05,24.316,0.2
9/1/05,19.394,0.222
10/1/05,15.419,0.237
11/1/05,11.494,0.103
12/1/05,7.796,0.173
1/1/06,7.079,0.22
2/1/06,8.929,0.227
3/1/06,7.234,0.291
4/1/06,12.031,0.273
5/1/06,18.357,0.271
6/1/06,22.972,0.162
7/1/06,26.279,0.226
8/1/06,23.28,0.318
9/1/06,20.785,0.146
10/1/06,14.838,0.149
11/1/06,10.885,0.118
12/1/06,6.676,0.173
1/1/07,5.378,0.186
2/1/07,8.384,0.25
3/1/07,12.838,0.191
4/1/07,13.693,0.146
5/1/07,18.048,0.137
6/1/07,21.469,0.185
7/1/07,24.957,0.329
8/1/07,24.448,0.255
9/1/07,19.757,0.236
10/1/07,14.717,0.171
11/1/07,11.901,0.162
12/1/07,5.159,0.204
1/1/08,5.119,0.208
2/1/08,7.944,0.107
3/1/08,10.598,0.149
4/1/08,12.73,0.191
5/1/08,16.751,0.139
6/1/08,21.827,0.232
7/1/08,24.726,0.18
8/1/08,24.678,0.299
9/1/08,22.028,0.181
10/1/08,16.542,0.207
11/1/08,12.314,0.124
12/1/08,5.597,0.147
1/1/09,8.289,0.211
2/1/09,7.611,0.255
3/1/09,10.002,0.156
4/1/09,12.664,0.257
5/1/09,19.405,0.183
6/1/09,19.844,0.142
7/1/09,25.301,0.356
8/1/09,23.769,0.317
9/1/09,22.735,0.131
10/1/09,14.439,0.177
11/1/09,10.635,0.262
12/1/09,5.357,0.168
1/1/10,7.316,0.156
2/1/10,8.428,0.163
3/1/10,9.967,0.205
4/1/10,10.878,0.134
5/1/10,14.202,0.186
6/1/10,20.665,0.224
7/1/10,24.508,0.376
8/1/10,22.987,0.33
9/1/10,21.296,0.254
10/1/10,15.718,0.075
11/1/10,9.377,0.135
12/1/10,7.556,0.251
1/1/11,7.319,0.209
2/1/11,6.579,0.183
3/1/11,9.719,0.111
4/1/11,12.175,0.181
5/1/11,14.375,0.175
6/1/11,19.5,0.237
7/1/11,23.461,0.304
8/1/11,24.032,0.281
9/1/11,22.427,0.178
10/1/11,16.254,0.189
11/1/11,9.091,0.215
12/1/11,6.257,0.297
1/1/12,7.981,0.264
2/1/12,8.224,0.206
3/1/12,9.758,0.168
4/1/12,13.483,0.315
5/1/12,17.957,0.216
6/1/12,20.792,0.28
7/1/12,23.765,0.359
8/1/12,25.407,0.23
9/1/12,22.76,0.211
10/1/12,16.638,0.28
11/1/12,11.475,0.237
12/1/12,6.062,0.323
1/1/13,5.607,0.26
2/1/13,7.521,0.275
3/1/13,12.415,0.251
4/1/13,14.707,0.283
5/1/13,17.899,0.228
6/1/13,22.513,0.265
7/1/13,25.563,0.206
8/1/13,23.46,0.369
9/1/13,21.924,0.861